Name,Ticker,Sub-Sector
Hi-Tech Pipes Ltd,HITECH,Building Products - Pipes
Orient Bell Ltd,ORIENTBELL,Building Products - Ceramics
De Nora India Ltd,DENORA,Electrical Components & Equipments
Paramount Communications Ltd,PARACABLES,Cables
DRS Dilip Roadlines Ltd,DRSDILIP,Logistics
Hexa Tradex Ltd,HEXATRADEX,Commodities Trading
McNally Bharat Engg Co Ltd,MBECL,Construction & Engineering
Indo Tech Transformers Ltd,INDOTECH,Heavy Electrical Equipments
RKEC Projects Ltd,RKEC,Construction & Engineering
Skil Infrastructure Ltd,SKIL,Construction & Engineering
Mold-Tek Technologies Ltd,MOLDTECH,Construction & Engineering
Pitti Engineering Ltd,PITTIENG,Industrial Machinery
Kapston Facilities Management Ltd,KAPSTON,Business Support Services
VETO Switch Gears And Cables Ltd,VETO,Electrical Components & Equipments
TRF Ltd,TRF,Industrial Machinery
Windsor Machines Ltd,WINDMACHIN,Industrial Machinery
North Eastern Carrying Corporation Ltd,NECCLTD,Logistics
A2z Infra Engineering Ltd,A2ZINFRA,Construction & Engineering
Murudeshwar Ceramics Ltd,MURUDCERA,Building Products - Ceramics
Global Vectra Helicorp Ltd,GLOBALVECT,Airlines
Lloyds Steels Industries Ltd,LSIL,Industrial Machinery
Atlanta Ltd,ATLANTA,Construction & Engineering
GPT Infraprojects Ltd,GPTINFRA,Construction & Engineering
Gammon Infrastructure Projects Ltd,GAMMNINFRA,Construction & Engineering
Emkay Taps And Cutting Tools Ltd,EMKAYTOOLS,Industrial Machinery
Kirloskar Electric Company Ltd,KECL,Heavy Electrical Equipments
Prakash Pipes Ltd,PPL,Building Products - Pipes
MBL Infrastructures Ltd,MBLINFRA,Construction & Engineering
Noida Toll Bridge Company Ltd,NOIDATOLL,Roads
Ice Make Refrigeration Ltd,ICEMAKE,Electrical Components & Equipments
Shree Vasu Logistics Ltd,SVLL,Logistics
Shiv Aum Steels Ltd,SHIVAUM,Commodities Trading
Bigbloc Construction Ltd,BIGBLOC,Building Products - Granite
Websol Energy System Ltd,WEBELSOLAR,Renewable Energy Equipment & Services
Accuracy Shipping Ltd,ACCURACY,Logistics
Gillanders Arbuthnot & Co Ltd,GILLANDERS,Conglomerates
IL&FS Engineering and Construction Company Ltd,IL&FSENGG,Construction & Engineering
LGB Forge Ltd,LGBFORGE,Industrial Machinery
