SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
VIKASPROP,Vikas Proppant & Granite Limited,BZ,19-AUG-2019,1,1,INE767B01022,1
VINYLINDIA,Vinyl Chemicals (India) Limited,BE,21-JUL-2008,1,1,INE250B01029,1
VISESHINFO,Visesh Infotecnics Limited,BE,14-JAN-2000,1,1,INE861A01058,1
WALCHANNAG,Walchandnagar Industries Limited,BE,18-SEP-1996,2,1,INE711A01022,2
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,19-AUG-2019,2,1,INE274F01020,2
WEWIN,WE WIN LIMITED,BE,15-JUN-2022,10,1,INE082W01014,10
WFL,Wonder Fibromats Limited,BE,17-JAN-2022,10,1,INE02WG01016,10
WILLAMAGOR,Williamson Magor & Company Limited,BE,08-FEB-1995,10,1,INE210A01017,10
XELPMOC,Xelpmoc Design And Tech Limited,BE,04-FEB-2019,10,1,INE01P501012,10
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
YAARI,Yaari Digital Integrated Services Limited,EQ,18-AUG-2011,2,1,INE126M01010,2
ZEEMEDIA,Zee Media Corporation Limited,BE,10-JAN-2007,1,1,INE966H01019,1
ZENITHEXPO,Zenith Exports Limited,BE,10-JUL-1996,10,1,INE058B01018,10
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
ZODIAC,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10
