NCH_SYMBOL,NCH_PREV_NAME,NCH_NEW_NAME,NCH_DT
BSLFEFS6DN,Birla Sun Life FEFund - S 6 - DP - DPO,Aditya Birla Sun Life FEFund - S 6 - DP - DPO,28-Sep-17
BSLFEFS6RG,Birla Sun Life FEFund - S 6 - RP - GO,Aditya Birla Sun Life FEFund - S 6 - RP - GO,28-Sep-17
BSLFEFS6RN,Birla Sun Life FEFund - S 6 - RP - DPO,Aditya Birla Sun Life FEFund - S 6 - RP - DPO,28-Sep-17
BSLFTPLXDG,Birla Sun Life Fixed Term Plan - Series LX (1099 D) - DP-GO,Aditya Birla Sun Life Fixed Term Plan - Series LX (1099 D) - DP-GO,28-Sep-17
BSLFTPLXDN,Birla Sun Life Fixed Term Plan - Series LX (1099 D) - DP-NDPO,Aditya Birla Sun Life Fixed Term Plan - Series LX (1099 D) - DP-NDPO,28-Sep-17
BSLFTPLXRG,Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-GO,Aditya Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-GO,28-Sep-17
BSLFTPLXRN,Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-NDPO,Aditya Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-NDPO,28-Sep-17
BSLFTPLXRQ,Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-QDPO,Aditya Birla Sun Life Fixed Term Plan - Series LX (1099 D) - RP-QDPO,28-Sep-17
BSLFTPMADG,Birla Sun Life Fixed Term Plan-Series MA-1099D-Dp-Grw,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-Dp-Grw,28-Sep-17
BSLFTPMADN,Birla Sun Life Fixed Term Plan-Series MA-1099D-DP-NDP,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-DP-NDP,28-Sep-17
BSLFTPMADQ,Birla Sun Life Fixed Term Plan-Series MA-1099D-DP-QDP,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-DP-QDP,28-Sep-17
BSLFTPMARG,Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-Grw,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-Grw,28-Sep-17
BSLFTPMARN,Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-NDP,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-NDP,28-Sep-17
BSLFTPMARQ,Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-QDP,Aditya Birla Sun Life Fixed Term Plan-Series MA-1099D-RP-QDP,28-Sep-17
BSLFTPMDDG,Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - DP-GO,Aditya Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - DP-GO,28-Sep-17
BSLFTPMDDN,Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - DP-NDPO,Aditya Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - DP-NDPO,28-Sep-17
BSLFTPMDRG,Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-GO,Aditya Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-GO,28-Sep-17
BSLFTPMDRN,Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-NDPO,Aditya Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-NDPO,28-Sep-17
BSLFTPMDRQ,Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-QDPO,Aditya Birla Sun Life Fixed Term Plan - Sr MD (1099 D) - RP-QDPO,28-Sep-17
BSLFTPMKDG,Birla Sun Life Fixed Term Plan Series MK (1105 D) - DP-GO,Aditya Birla Sun Life Fixed Term Plan Series MK (1105 D) - DP-GO,28-Sep-17
BSLFTPMKDQ,Birla Sun Life Fixed Term Plan Series MK (1105 D) - DP-QDPO,Aditya Birla Sun Life Fixed Term Plan Series MK (1105 D) - DP-QDPO,28-Sep-17
