NCH_SYMBOL,NCH_PREV_NAME,NCH_NEW_NAME,NCH_DT
IVZINA1BRG,Religare Invesco MF - Religare Invesco AIF - Sr 1 - Pl B - RS-P-GO,Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,23-Jun-16
IVZINGOLD,Religare Invesco Gold Exchange Traded Fund,Invesco India Gold Exchange Traded Fund,23-Jun-16
IVZINNIFTY,Religare Invesco Nifty Exchange Traded Fund,Invesco India Nifty Exchange Traded Fund,23-Jun-16
IZMO,Logix Microsystems Limited,IZMO Limited,15-May-15
JAIBALAJI,Jai Balaji Sponge Limtied,Jai Balaji Industries Limited,10-Aug-07
JAYNECOIND,Jayaswals Neco Limited,Jayaswal Neco Industries Limited,22-Feb-08
JBMA,JBM Auto Components Limited,JBM Auto Limited,04-Jan-06
JCHAC,Hitachi Home and Life Solutions (India) Limited,Johnson Controls – Hitachi Air Conditioning India Limited,12-Sep-16
JDORGO,Jaysynth Dyechem Ltd,JD Orgochem Limited,13-Sep-04
JINDALDRIL,Jindal Drilling Industries Ltd,Jindal Drilling And Industries Limited,20-Sep-04
JINDALFOTO,Jindal Photo Films Ltd.,Jindal Photo Limited,29-Jan-04
JINDALPOLY,Jindal Polyester Ltd,Jindal Poly Films Limited,06-Sep-04
JINDALSAW,Saw Pipes Ltd.,Jindal Saw Limited,18-Feb-05
JKTYRE,J.K.Industries Limited,JK Tyre & Industries Limited,23-May-07
JPPOWER,Jaiprakash Hydro-Power Limited,Jaiprakash Power Ventures Limited,08-Jan-10
JSL,JSL Stainless Limited,Jindal Stainless Limited,21-Dec-11
JSWHL,Jindal South West Holdings Limited,JSW Holdings Limited,30-Jul-13
JSWISPAT,Ispat Industries Limited,JSW ISPAT Steel Limited,16-Aug-11
JSWISPL,Monnet Ispat & Energy Limited,JSW Ispat Special Products Limited,12-Oct-20
JSWSTEEL,Jindal Vijayanagar Steel Limited,JSW Steel Limited,16-Sep-05
JTEKTINDIA,Sona Koyo Steering Systems Limited,JTEKT India Limited,23-Apr-18
JTEKTINDIA,Sona Koyo Steering Systems Limited,Jtekt India Limited,23-Apr-18
JUBLPHARMA,Jubilant Life Sciences Limited,Jubilant Pharmova Limited,12-Feb-21
JUNIORBEES,NIPPON INDIA ETF JUNIOR BEES,Nippon India ETF Nifty Next 50 Junior BeES,08-Jul-22
JUNIORBEES,Reliance ETF Junior BeES,NIPPON INDIA ETF JUNIOR BEES,30-Oct-19
JWL,Commercial Engineers & Body Builders Co Limited,Jupiter Wagons Limited,20-Jun-22
JYOTHYLAB,Jyothy Laboratories Limited,Jyothy Labs Limited,22-Jul-19
KAKATCEM,Kakatiya Cements Ltd,Kakatiya Cement Sugar & Industries Limited,03-Feb-99
KAMDHENU,Kamdhenu Ispat Limited,Kamdhenu Limited,22-Mar-16
KANSAINER,Goodlass Nerolac Paints  Ltd,Kansai Nerolac Paints Limited,26-Jul-06
KAPSTON,Kapston Facilities Management Limited,Kapston Services Limited,21-Feb-22
KBCGLOBAL,Karda Constructions Limited,KBC Global Limited,16-Dec-21
KEEPLEARN,DSJ Communications Limited,DSJ Keep Learning Limited,12-Jul-21
KELVINATOR,Kelvinator of India Ltd.,Whirlpool of India Limited,20-Nov-96
KENNAMET,Widia (India) Limited,Kennametal India Limited,19-Aug-19
KEYFINSERV,Keynote Corporate Services Limited,Keynote Financial Services Limited,03-May-19
KFA,Deccan Aviation Limited,Kingfisher Airlines Limited,06-Oct-08
KGL,Karuturi Networks Limited,Karuturi Global Limited,20-Nov-08
KHAIHOSTOM,KHAITAN HOSTOMBE SPINELS LTD.,KHSL Industries Limited,04-Jul-96
KHATJUNKER,Khatau Junker Ltd,Indokem Limited,14-Feb-97
KINETICMOT,Kinetic Honda Motors Ltd,Kinetic Motor Company Limited,20-Sep-04
KIRIINDUS,Kiri Dyes and Chemicals Limited,Kiri Industries Limited,28-Mar-11
KIRLOSIND,Kirloskar Oil Engines Limited,Kirloskar Industries Limited,02-Jul-10
KOHINOOR,Satnam Overseas Ltd,Kohinoor Foods Limited,18-Aug-06
KOKUYOCMLN,Camlin Limited,Kokuyo Camlin Limited,14-Feb-12
KOPDRUGS,Kopran Drugs Limited,KDL Biotech Limited,23-Aug-00
KOTAKBANK,Kotak Mahindra Finance Ltd.,Kotak Mahindra Bank Limited,21-Apr-03
KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option,Kotak Nifty Bank ETF,18-Jul-22
KOTAKIT,Kotak Mahindra Mutual Fund - KOTAK IT ETF - Kotak IT ETF,Kotak Nifty IT ETF,18-Jul-22
KOTAKLOVOL,Kotak Mahindra Mutual Fund - Kotak Nifty 100 Low Vol 30 ETF,Kotak Nifty 100 Low Volatility 30 ETF,18-Jul-22
KOTAKMID50,Kotak Mahindra Mutual Fund - Kotak Midcap 50 ETF - Kotak Midcap 50 ETF,Kotak Nifty Midcap 50 ETF,18-Jul-22
KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,Kotak Nifty 50 ETF,18-Jul-22
KOTAKNV20,Kotak Mahindra MF - Kotak NV 20 ETF - DPO,Kotak Nifty 50 value 20 ETF,18-Jul-22
KOTAKPSUBK,Kotak Mahindra Mutual Fund,Kotak Nifty PSU Bank ETF,18-Jul-22
KPIGREEN,K.P.I. Global Infrastructure Limited,KPI Green Energy Limited,27-Apr-22
KREBSBIO,Krebs Biochemicals Limited,Krebs Biochemicals and Industries Limited,27-Oct-16
KSB,KSB Pumps Limited,Ksb Limited,23-Oct-18
KSERASERA,K Sera Sera Limited,KSS Limited,01-Mar-13
KWALITY,Kwality Dairy (India) Limited,kwality limited,10-Oct-13
LEEL,Lloyd Electric & Engineering Limited,LEEL Electricals Limited,19-Jun-17
LIBAS,Libas Designs Limited,Libas Consumer Products Limited,24-Nov-20
LICMFC4D,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-DPO,LIC MF - LIC MF CPOF Sr 4 - RP-DPO,08-Jul-16
LICMFC4G,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-GO,LIC MF - LIC MF CPOF Sr 4 - RP-GO,08-Jul-16
LICMFC4G1,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - DP-GO,LIC MF - LIC MF CPOF Sr 4 - DP-GO,08-Jul-16
LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,LIC MF - LIC MF G-sec LT ETF - GO,08-Jul-16
LICNETFN50,LIC NOMURA MF - LIC NOMURA MF EXCHANGE TRADED FUND - NIFTY 50,LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,08-Jul-16
LICNETFSEN,LIC NOMURA Mutual Fund - LIC NOMURA MF EXCHANGE TRADED FUND - SENSEX,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,08-Jul-16
LICNFA1D1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - DPO,LIC MF - LIC MF DAFTP - S 1 - DP - DPO,08-Jul-16
LICNFA1DP,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - RP - DPO,LIC MF - LIC MF DAFTP - S 1 - RP - DPO,08-Jul-16
LICNFA1G1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - GO,LIC MF - LIC MF DAFTP - S 1 - DP - GO,08-Jul-16
LICNFA2D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-DPO,08-Jul-16
LICNFA2DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-DPO,08-Jul-16
LICNFA2G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-GO,08-Jul-16
LICNFA2GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-GO,08-Jul-16
LICNFA3D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-DPO,08-Jul-16
LICNFA3DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-DPO,08-Jul-16
LICNFA3G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-GO,08-Jul-16
LICNFA3GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-GO,08-Jul-16
LICNFC1D1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - Di -DP,LIC MF- LIC MF CPOF Sr 1 - Di -DP,08-Jul-16
LICNFC1DP,LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 -RP- DP,LIC MF - LIC MF CPOF Sr 1 -RP- DP,08-Jul-16
LICNFC1G1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - DP - G,LIC MF- LIC MF CPOF Sr 1 - DP - G,08-Jul-16
LICNFC1GP,LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 - RP - G,LIC MF - LIC MF CPOF Sr 1 - RP - G,08-Jul-16
LICNFC2D1D,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-Jul-16
LICNFC2DPD,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-Jul-16
LICNFC2G1G,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-Jul-16
LICNFC2GPG,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-Jul-16
LICNFC3D1D,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-DPO,08-Jul-16
LICNFC3DPD,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-DPO,08-Jul-16
LICNFC3G1G,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-GO,08-Jul-16
LICNFC3GPG,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-GO,08-Jul-16
LICNFC5D,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-DPO,LIC MF - LIC MF CPOF - Sr 5 - RP-DPO,08-Jul-16
LICNFC5D1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-DPO,LIC MF - LIC MF CPOF - Sr 5 - DP-DPO,08-Jul-16
LICNFC5G,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-GO,LIC MF - LIC MF CPOF - Sr 5 - RP-GO,08-Jul-16
LICNFC5G1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-GO,LIC MF - LIC MF CPOF - Sr 5 - DP-GO,08-Jul-16
LICNFD1D,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,08-Jul-16
LICNFD1D1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,08-Jul-16
LICNFD1G,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,08-Jul-16
LICNFD1G1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,08-Jul-16
LICNFD2D,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-DPO,LIC MF - LIC MF DEF Series 2 - RP-DPO,08-Jul-16
LICNFD2D1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-DPO,LIC MF - LIC MF DEF Series 2 - DP-DPO,08-Jul-16
LICNFD2G,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-GO,LIC MF - LIC MF DEF Series 2 - RP-GO,08-Jul-16
LICNFD2G1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-GO,LIC MF - LIC MF DEF Series 2 - DP-GO,08-Jul-16
LICNFE9D,LIC NOMURA MF - FMP Series 89 - Regular Dividend,LIC MF - FMP Series 89 - Regular Dividend,08-Jul-16
LICNFE9G,LIC NOMURA MF - FMP Series 89 - Regular Growth,LIC MF - FMP Series 89 - Regular Growth,08-Jul-16
LICNFE9G1,LIC NOMURA MF - FMP Series 89 - Direct Growth,LIC MF - FMP Series 89 - Direct Growth,08-Jul-16
LICNFER2G,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - RP - GO,LIC MF - LICMF - FMP -  Sr 82 - RP - GO,08-Jul-16
LICNFER2G1,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - DP - GO,LIC MF - LICMF - FMP -  Sr 82 - DP - GO,08-Jul-16
LICNFER3G,LIC NOMURA MF - LICNMF - FMP - S 83 - RP - GO,LIC MF - LICMF - FMP - S 83 - RP - GO,08-Jul-16
LICNFER3G1,LIC NOMURA MF - LICNMF - FMP - S 83 - DP - GO,LIC MF - LICMF - FMP - S 83 - DP - GO,08-Jul-16
LICNFER6D,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - DPO,LIC MFund - LIC MF FMP - S 86 - RP - DPO,08-Jul-16
LICNFER6G,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - GO,LIC MFund - LIC MF FMP - S 86 - RP - GO,08-Jul-16
LICNFER6G1,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - DP - GO,LIC MFund - LIC MF FMP - S 86 - DP - GO,08-Jul-16
LICNFLR2D,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - DPO,LIC MF - LIC MF FMP -  S 72 - RP - DPO,08-Jul-16
LICNFLR2D1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - DPO,LIC MF - LIC MF FMP -  S 72 - DP - DPO,08-Jul-16
LICNFLR2G,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - GO,LIC MF - LIC MF FMP -  S 72 - RP - GO,08-Jul-16
LICNFLR2G1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - GO,LIC MF - LIC MF FMP -  S 72 - DP - GO,08-Jul-16
LICNFN0D,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-DPO,LIC MF - LIC MF FMP Series 90 - RP-DPO,08-Jul-16
LICNFN0D1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-DPO,LIC MF - LIC MF FMP Series 90 - DP-DPO,08-Jul-16
LICNFN0G,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-GO,LIC MF - LIC MF FMP Series 90 - RP-GO,08-Jul-16
LICNFN0G1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-GO,LIC MF - LIC MF FMP Series 90 - DP-GO,08-Jul-16
LICNFN2D,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-DPO,LIC MF - LIC MF FMP Series 92 - RP-DPO,08-Jul-16
LICNFN2G,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-GO,LIC MF - LIC MF FMP Series 92 - RP-GO,08-Jul-16
LICNFN2G1,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - DP-GO,LIC MF - LIC MF FMP Series 92 - DP-GO,08-Jul-16
LICNFNHGP,LIC NOMURA MF - LIC NOMURA MF ETF - Nifty 100,LIC MF - LIC MF ETF - Nifty 100,08-Jul-16
LICNFR2D1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - DP-DPO (Op B),08-Jul-16
LICNFR2DP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - RP-DPO (Op B),08-Jul-16
LICNFR2G1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - DP-GO (Op A),08-Jul-16
LICNFR2GP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - RP-GO (Op A),08-Jul-16
LICNFR3D,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,08-Jul-16
LICNFR3D1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,08-Jul-16
LICNFR3G,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,08-Jul-16
LICNFR3G1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,08-Jul-16
LICNMF46D,LIC Mutual Fund - LIC MF FMP - Series 46 - Dividend payout,LIC NOMURA MF FMP - Series 46 - Dividend payout,13-Jul-11
LICNMF46G,LIC Mutual Fund - LIC MF FMP - Series 46 - Growth,LIC NOMURA MF FMP - Series 46 - Growth,13-Jul-11
LINC,Linc Pen & Plastics Limited,Linc Limited,20-Dec-21
LINDEINDIA,BOC India Limited,Linde India Limited,10-Apr-13
LIQUIDBEES,NIPPON INDIA ETF LIQUID BEES,Nippon India ETF Nifty 1D Rate Liquid BeES,08-Jul-22
LIQUIDBEES,Reliance ETF Liquid BeES,NIPPON INDIA ETF LIQUID BEES,30-Oct-19
LIQUIDETF,DSP LIQUID ETF,DSP NIFTY 1D Rate Liquid ETF,11-Aug-22
LIQUIDETF,DSP BLACKROCK LIQUID  ETF,DSP LIQUID ETF,25-Sep-18
LOTTEINDIA,Parrys Confectionery Ltd.,Lotte India Corporation Limited,17-Dec-04
LOTUSEYE,Lotus Eye Care Hospital Limited,Lotus Eye Hospital and Institute Limited,16-Oct-17
LTFMPS6ED,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE- DP,L&T Fixed Maturiy Plan Series - VI Plan F,14-Jan-13
LTFMPS6EG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE-Growth,L&T Fixed Maturity Plane Series - VI Plan E,14-Jan-13
LTFMPS6FG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI-Plan F-Growth,L&T Fixed Maturity Plan Series - VI Plan F,14-Feb-13
LTGILTBEES,NIPPON INDIA ETF LONG TERM GILT,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,08-Jul-22
MAANALU,Man Aluminium Limited,Maan Aluminium Limited,16-Mar-11
MADURACOAT,Coats Viyella India Ltd,Madura Coats Limited,14-Jul-98
MAESGETF,Mirae Asset Mutual Fund -Mirae Asset ESG Sector Leaders ETF,MIRAE ASSET MUTUAL FUND - Mirae Asset Nifty 100 ESG Sector Leaders ETF,01-Jul-22
MAHAINTL,Maharaja International Ltd,Electrolux Kelvinator Limited,11-Aug-99
MAHENDSUIT,Mahendra Suitings Ltd,Mahendra Petrochemicals Limited,01-Dec-98
MAHINDCIE,Mahindra Forgings Limited,Mahindra CIE Automotive Limited,17-Dec-13
MAHLIFE,Mahindra Gesco Developers Limited,Mahindra Lifespace Developers Limited,23-Nov-07
MANALIPETC,Manali Petrochemical Limited,Manali Petrochemicals Limited,29-Nov-11
MANAPPURAM,Manappuram General Finance & Leasing Limited,Manappuram Finance Limited,08-Aug-11
MANINDS,MAN ALUMINIUM LTD.,Man Industries (India) Limited,04-Jul-96
MARICO,Marico Industries Ltd.,Marico Limited,14-Jun-05
MARKSANS,Tasc Pharmaceuticals Limited,Marksans Pharma Limited,14-Nov-05
MARNITPOLY,Marnite Polycast Ltd,MPL Corporation Limited,23-Jun-98
MARUTI,Maruti Udyog Limited,Maruti Suzuki India Limited,29-Oct-07
MCDOWELL-N,Mcdowell & Company Limited,United Spirits Limited,27-Dec-06
MERCATOR,Mercator Lines Limited,Mercator Limited,08-Dec-11
METALFORGE,Ahmednagar Forgings Limited,Metalyst Forgings Limited,01-Jun-15
METAZINC,Metazinc (I) Ltd,MTZ (India) Limited,26-Nov-97
METKORE,Cronimet Alloys India Limited,Metkore Alloys & Industries Limited,02-Apr-12
MFSL,Max India Limited,Max Financial Services Limited,26-Feb-16
MICRO,Hindustan Inks And Resins Ltd,Micro Inks Limited,26-Mar-04
MID150BEES,Reliance Mutual Fund - Reliance ETF Nifty Midcap 150 - Reliance ETF Ni,NIPPON INDIA ETF NIFTY MIDCAP 150,30-Oct-19
MINDTREE,MindTree Consulting Limited,MindTree Limited,06-May-08
MIRZAINT,Mirza Tanners Ltd.,Mirza International Limited,05-Jul-06
MODERNWOOL,Modern Woollens Ltd.,Modern Terry Towels Limited,26-Jun-96
MODITHREAD,MODI THREADS LTD.,MODI TELEFIBERS LTD.,05-Jul-96
MODITHREAD,MODI THREADS LTD.,Modi Telefibers Limited,05-Jul-96
MOHINI,Mohini Fibers Limited,Mohini Health & Hygiene Limited,06-Oct-17
MOHOTAIND,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited,Mohota Industries Limited,26-Dec-17
MOM100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,Motilal Oswal Mutual Fund - Motilal Oswal Midcap 100 ETF,16-Jun-21
MOM50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,Motilal Oswal Mutual Fund - Motilal Oswal M50 ETF,16-Jun-21
MON100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF,16-Jun-21
MONNETISPA,Monnet Ispat Limited,Monnet Ispat and Energy Limited,15-May-12
MONSANTO,Monsanto Chemicals Of India Ltd.,Monsanto India Limited,02-Aug-00
MOTHERSON,Motherson Sumi Systems Limited,Samvardhana Motherson International Limited,09-Jun-22
MPHASIS,Mphasis BFL Limited,MphasiS Limited,26-Dec-06
MPSLTD,Macmillan India Limited,MPS Limited,11-Sep-09
MRO-TEK,MRO-TEK Limited,MRO-TEK Realty Limited,25-Jan-17
NACLIND,Nagarjuna Agrichem Limited,NACL Industries Limited,29-Sep-17
NACLIND,Nagarjuna Agrichem Limited,Nacl Industries Limited,29-Sep-17
NAHARPOLY,Nahar Investments and Holding Limited,Nahar Poly Films Limited,15-Jun-11
NAM-INDIA,Reliance Nippon Life Asset Management Limited,Nippon Life India Asset Management Limited,23-Jan-20
NARMADASUG,Narmada Sugar Ltd,Girdharilal Sugar and Allied Industries Limited,18-Aug-98
NATNLSTEEL,National Steel Industries Ltd,National Steel And Agro Industries Limited,26-Sep-02
NAVA,Nava Bharat Ventures Limited,NAVA LIMITED,29-Jul-22
NAVNETEDUL,Navneet Publications India Limited,Navneet Education Limited,19-Sep-13
NBCC,National Buildings Construction Corporation Limited,NBCC (INDIA) LIMITED,07-Jun-16
NBVENTURES,Nava Bharat Ferro Alloys Ltd,Nava Bharat Ventures Limited,31-Jul-06
NCC,Nagarjuna Construction Company Limited,NCC Limited,15-Mar-11
NDAFDVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPDPO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPDPO,30-Oct-19
NDAFDVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPGO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,30-Oct-19
NDAFDVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPGO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,30-Oct-19
NDAFTFIVCD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-D,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-D,30-Oct-19
NDAFTFIVCG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-G,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-G,30-Oct-19
NDAFTFVCD,Reliance MF - Reliance Dual Adv FTF V - Pl C - DPO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DPO,30-Oct-19
NDAFTFVCG,Reliance MF - Reliance Dual Adv FTF V - Pl C - GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - GO,30-Oct-19
NDAFTIIPGD,Reliance Mutual Fund - Reliance DAFTF II - P - G - DP,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - DP,30-Oct-19
NDAFTIIPGG,Reliance Mutual Fund - Reliance DAFTF II - P - G - Growth,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - Growth,30-Oct-19
NDAFTIVCDD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DD,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DD,30-Oct-19
NDAFTIVCDG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DG,NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DG,30-Oct-19
NDAFTVCDG,Reliance MF - Reliance Dual Adv FTF V - Pl C - DP-GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO,30-Oct-19
NDAFTVCDG,Reliance MF - Reliance Dual Adv FTF V - Pl C - DP-GO,NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO,30-Oct-19
NDAFTVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPO,30-Oct-19
NDAFTVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - GO,NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - GO,30-Oct-19
NDAFVGDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,30-Oct-19
NDAFVGDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,30-Oct-19
